,id,title,description,release_year,genres,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
3220,tm1045603,The House of Flowers: The Movie,The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.,2021,"['drama', 'comedy']",5.5,851.0,34.004,8.0,CeciliaSuárez,the de la mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance. ceciliasuárez
3221,tm1033369,Plastic Island,"Gede Robi, vocalist of Navicula, Tiza Mafira, lawyer from Jakarta & Prigi Arisandi, biologist & river guard from East Java in tracing plastic waste whose tracks have infiltrated the food chain & its impact on human health.",2021,['documentation'],8.0,22.0,1.4,,GedeRobi TizaMafira PrigiArisandi MohammadMarzuki AurélieMoeremans AndreasA.Kristanto Harun'Persotamania',"gede robi, vocalist of navicula, tiza mafira, lawyer from jakarta & prigi arisandi, biologist & river guard from east java in tracing plastic waste whose tracks have infiltrated the food chain & its impact on human health. gederobi tizamafira prigiarisandi mohammadmarzuki auréliemoeremans andreasa.kristanto harun'persotamania'"
3222,tm1114350,Story of Dinda: Second Chance of Happiness,"Dinda just wants to be happy, but often reality does not match expectations. But now he meets someone who makes him realize: good love is not always full of wounds. A sense of calm that is not restrained, maturity that is not excessive and still gives freedom to every childish nature.",2021,"['romance', 'drama']",5.6,46.0,1.205,,AurélieMoeremans AbimanaAryasatya ArdhitoPramono CantikaAbigail RyoichiAdityaHutomo AzizahHanum IqbalSiregar MyaSantosa NuhPrabawa Olik SaiidMuhammad MuhammadRasyid,"dinda just wants to be happy, but often reality does not match expectations. but now he meets someone who makes him realize: good love is not always full of wounds. a sense of calm that is not restrained, maturity that is not excessive and still gives freedom to every childish nature. auréliemoeremans abimanaaryasatya ardhitopramono cantikaabigail ryoichiadityahutomo azizahhanum iqbalsiregar myasantosa nuhprabawa olik saiidmuhammad muhammadrasyid"
3223,tm1131374,Carolin Kebekus: The Last Christmas Special,"One of the biggest comedians in Germany, Carolin Kebekus, mixes festive nostalgia and social commentary with her signature edgy wit to poke fun and challenge 'the most wonderful time of the year'.",2021,['comedy'],4.7,98.0,1.925,5.5,CarolinKebekus,"one of the biggest comedians in germany, carolin kebekus, mixes festive nostalgia and social commentary with her signature edgy wit to poke fun and challenge 'the most wonderful time of the year'. carolinkebekus"
3224,tm996996,The Misadventures of Hedi and Cokeman,"In Paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries.",2021,"['action', 'crime', 'comedy']",4.4,641.0,19.908,,HediBouchenafa NassimLyes,"in paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries. hedibouchenafa nassimlyes"
3225,tm996010,Still Out of My League,"After breaking up with her dreamboat, Marta finds love with an artist. But life throws a few twists into the mix for the ailing woman and her friends.",2021,"['romance', 'comedy', 'drama']",5.5,810.0,50.814,6.7,LudovicaFrancesconi GiancarloCommare JozefGjura GajaMasciale JennyDeNucci GiuseppeFutia RiccardoNiceforo LoredanaBertè GiorgioLupano DiegoGiangrasso DésiréeGiorgetti AngelicaGiusto EliaTedesco OseyLucky FrancaPellecchia ChristianNerone DemoViola GianniBissacca ElenaPaoli GiorgioSerra LorenzoRapazzini EdoardoHensemberg MatteoSangali FrancescoBalbusso LucaDell'Olio MatthiasPizzimenti JodieLebhar AndreaBruno NancyGrigolo SimoneCristiani PaoloStella OscarAnton,"after breaking up with her dreamboat, marta finds love with an artist. but life throws a few twists into the mix for the ailing woman and her friends. ludovicafrancesconi giancarlocommare jozefgjura gajamasciale jennydenucci giuseppefutia riccardoniceforo loredanabertè giorgiolupano diegogiangrasso désiréegiorgetti angelicagiusto eliatedesco oseylucky francapellecchia christiannerone demoviola giannibissacca elenapaoli giorgioserra lorenzorapazzini edoardohensemberg matteosangali francescobalbusso lucadell'olio matthiaspizzimenti jodielebhar andreabruno nancygrigolo simonecristiani paolostella oscaranton"
3226,tm1141663,Cem Yılmaz: Diamond Elite Platinum Plus,"In an irreverent but heartfelt stand-up show, Turkish comedian Cem Yılmaz shares stories about childhood, social media and Turks on holiday abroad.",2021,['comedy'],6.6,7921.0,2.736,5.8,CemYılmaz,"in an irreverent but heartfelt stand-up show, turkish comedian cem yılmaz shares stories about childhood, social media and turks on holiday abroad. cemyılmaz"
3227,tm1036797,Sardar Ka Grandson,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",2021,"['comedy', 'drama', 'romance']",4.2,4539.0,5.578,7.3,ArjunKapoor NeenaGupta RakulPreetSingh KumudMishra KanwaljitSingh SoniRazdan JohnAbraham AditiRaoHydari DivyaSethShah RavjeetSingh MahikaPatiyal MehroosMir,"a devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair. arjunkapoor neenagupta rakulpreetsingh kumudmishra kanwaljitsingh sonirazdan johnabraham aditiraohydari divyasethshah ravjeetsingh mahikapatiyal mehroosmir"
3228,tm1033635,Sisters on Track,Three track star sisters face obstacles in life and in competition as they pursue Junior Olympic dreams in this extraordinary coming of age journey.,2021,"['documentation', 'sport']",5.8,199.0,7.433,7.1,RainnSheppard TaiSheppard BrookeSheppard,three track star sisters face obstacles in life and in competition as they pursue junior olympic dreams in this extraordinary coming of age journey. rainnsheppard taisheppard brookesheppard
3229,tm1115392,Shyam Singha Roy,"A young filmmaker is in a soup right when he’s about to find his footing in the film industry. When he sets out to find an answer, turns out it’s in the past.",2021,"['drama', 'romance', 'thriller', 'horror']",7.7,11655.0,6.084,7.3,Nani SaiPallavi KrithiShetty MadonnaSebastian MuraliSharma RahulRavindran AbhinavGomatam AnkithKoyya LeelaSamson JisshuSengupta SubhalekhaSudhakar AnuragKulkarni ManishWadhwa,"a young filmmaker is in a soup right when he’s about to find his footing in the film industry. when he sets out to find an answer, turns out it’s in the past. nani saipallavi krithishetty madonnasebastian muralisharma rahulravindran abhinavgomatam ankithkoyya leelasamson jisshusengupta subhalekhasudhakar anuragkulkarni manishwadhwa"
